PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms);
3,141513;-0,000079;0,000025;1600000000;1;44547;
3,141574;-0,000019;0,000006;1600000000;1;44798;
3,141590;-0,000003;0,000001;1600000000;1;44999;
3,141630;0,000038;0,000012;1600000000;1;43909;
3,141665;0,000072;0,000023;1600000000;1;43974;
3,141513;-0,000079;0,000025;1600000000;1;44547;
3,141571;-0,000021;0,000007;1600000000;2;22753;
3,141616;0,000024;0,000008;1600000000;2;22631;
3,141620;0,000027;0,000009;1600000000;2;22802;
3,141661;0,000068;0,000022;1600000000;2;22781;
3,141575;-0,000017;0,000006;1600000000;2;22763;
3,141571;-0,000021;0,000007;1600000000;2;22753;
3,141616;0,000024;0,000008;1600000000;2;22631;
3,141620;0,000027;0,000009;1600000000;2;22802;
3,141661;0,000068;0,000022;1600000000;2;22781;
3,141575;-0,000017;0,000006;1600000000;2;22763;
3,141552;-0,000040;0,000013;1600000000;4;11401;
3,141576;-0,000017;0,000005;1600000000;4;11415;
3,141583;-0,000009;0,000003;1600000000;4;11382;
3,141488;-0,000104;0,000033;1600000000;4;11408;
3,141620;0,000028;0,000009;1600000000;4;11412;
3,141552;-0,000040;0,000013;1600000000;4;11401;
3,141576;-0,000017;0,000005;1600000000;4;11415;
3,141583;-0,000009;0,000003;1600000000;4;11382;
3,141488;-0,000104;0,000033;1600000000;4;11408;
3,141620;0,000028;0,000009;1600000000;4;11412;
3,141599;0,000006;0,000002;1600000000;8;5757;
3,141623;0,000030;0,000010;1600000000;8;5775;
3,141679;0,000086;0,000027;1600000000;8;5773;
3,141588;-0,000004;0,000001;1600000000;8;5799;
3,141619;0,000026;0,000008;1600000000;8;5854;
3,141599;0,000006;0,000002;1600000000;8;5757;
3,141623;0,000030;0,000010;1600000000;8;5775;
3,141679;0,000086;0,000027;1600000000;8;5773;
3,141588;-0,000004;0,000001;1600000000;8;5799;
3,141619;0,000026;0,000008;1600000000;8;5854;
3,141598;0,000005;0,000002;1600000000;16;3255;
3,141604;0,000011;0,000003;1600000000;16;3202;
3,141577;-0,000016;0,000005;1600000000;16;3165;
3,141611;0,000018;0,000006;1600000000;16;3227;
3,141620;0,000027;0,000009;1600000000;16;3176;
3,141598;0,000005;0,000002;1600000000;16;3255;
3,141604;0,000011;0,000003;1600000000;16;3202;
3,141577;-0,000016;0,000005;1600000000;16;3165;
3,141611;0,000018;0,000006;1600000000;16;3227;
