PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms)
3,141745;0,000152;0,000048;160000000;32;60832;
3,140592;-0,001001;0,000319;160000000;64;73792;
3,141696;0,000103;0,000033;160000000;64;76096;
3,141701;0,000108;0,000034;160000000;64;70528;
3,140605;-0,000988;0,000314;160000000;64;72064;
3,141974;0,000382;0,000122;160000000;64;78272;
3,140768;-0,000825;0,000262;160000000;64;73792;
3,142074;0,000481;0,000153;160000000;64;70528;
3,142603;0,001011;0,000322;160000000;64;73664;
3,142389;0,000796;0,000253;160000000;64;80256;
3,140838;-0,000754;0,000240;160000000;64;68352;
