PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms)
3,141658;0,000065;0,000021;160000000;8;1588;
3,141909;0,000316;0,000101;160000000;8;1570;
3,141746;0,000154;0,000049;160000000;8;1588;
3,142333;0,000741;0,000236;160000000;8;1568;
3,141437;-0,000156;0,000050;160000000;8;1560;
3,141533;-0,000059;0,000019;160000000;8;1516;
3,141738;0,000145;0,000046;160000000;8;1528;
3,142253;0,000660;0,000210;160000000;8;1572;
3,142170;0,000577;0,000184;160000000;8;1550;
3,141245;-0,000348;0,000111;160000000;8;1544;
3,141384;-0,000209;0,000067;160000000;16;775;
3,141123;-0,000470;0,000150;160000000;16;795;
3,141859;0,000267;0,000085;160000000;16;808;
3,142221;0,000629;0,000200;160000000;16;810;
3,141420;-0,000173;0,000055;160000000;16;916;
3,141506;-0,000087;0,000028;160000000;16;810;
3,142308;0,000716;0,000228;160000000;16;821;
3,141175;-0,000417;0,000133;160000000;16;801;
3,140974;-0,000619;0,000197;160000000;16;820;
3,142350;0,000757;0,000241;160000000;16;804;
3,141014;-0,000578;0,000184;160000000;32;411;
3,141949;0,000356;0,000113;160000000;32;396;
3,141195;-0,000397;0,000127;160000000;32;396;
3,140574;-0,001018;0,000324;160000000;32;404;
3,142725;0,001132;0,000360;160000000;32;418;
3,141471;-0,000121;0,000039;160000000;32;399;
3,141535;-0,000057;0,000018;160000000;32;400;
3,141247;-0,000345;0,000110;160000000;32;406;
3,141282;-0,000310;0,000099;160000000;32;399;
3,142475;0,000883;0,000281;160000000;32;404;
3,141224;-0,000369;0,000117;160000000;64;214;
3,142381;0,000788;0,000251;160000000;64;212;
3,140939;-0,000653;0,000208;160000000;64;211;
3,140838;-0,000754;0,000240;160000000;64;216;
3,143998;0,002406;0,000766;160000000;64;210;
3,141429;-0,000164;0,000052;160000000;64;219;
3,141938;0,000345;0,000110;160000000;64;215;
3,139819;-0,001773;0,000565;160000000;64;201;
3,143355;0,001763;0,000561;160000000;64;205;
3,142101;0,000508;0,000162;160000000;64;215;
